"Protein ID","p2d1","p2d2","p2d3","p2d4","p2d5","p2d6","p2d7","p2d8"
"sp|P08217|CEL2A_HUMAN",0.024118565,0.041733582,0.079634748,0.021704934,0.12729781,0.109233572,0.115624998,0.031383808
"sp|P01009|A1AT_HUMAN",0.127341832,0.084335287,0.063509841,0.0786616,0.043575168,0.049269112,0.068201442,0.105015686
"sp|P09093|CEL3A_HUMAN",0.039545894,0.08067542,0.049485065,0.067337369,0.052927101,0.030802327,0.056181234,0.045151861
"sp|P04745|AMY1_HUMAN",0.024753383,0.02541083,0.047400218,0.040213533,0.062812246,0.063835979,0.037378682,0.011783088
"sp|Q9Y6R7|FCGBP_HUMAN",0.00217651,0.00530502,0.003126801,0.00632876,0.003458388,0.001428381,0.002238211,0.002215058
"sp|P08861|CEL3B_HUMAN",0.031634126,0.087285642,0.069068926,0.068363939,0.06007937,0.038619616,0.068713631,0.031147328
"sp|O43451|MGA_HUMAN",0.005716837,0.005936152,0.007528864,0.009693491,0.005770471,0.003943587,0.00436524,0.005131327
"sp|P15085|CBPA1_HUMAN",0.011605813,0.023263442,0.050193657,0.029188416,0.0498314,0.058509316,0.046029862,0.007639789
"sp|P15086|CBPB1_HUMAN",0.015351528,0.010793717,0.040171863,0.05100432,0.032829986,0.0293765,0.037888644,0.011300279
"sp|Q9BYE9|CDHR2_HUMAN",0.005460448,0.006175696,0.005015189,0.005760369,0.004821458,0.002317497,0.003371863,0.004388649
"sp|P01876|IGHA1_HUMAN",0.009890142,0.007711111,0.007832809,0.019790567,0.011795831,0.013771979,0.017838107,0.015970089
"sp|P35237|SPB6_HUMAN",0.024892818,0.029001414,0.027408147,0.034856911,0.016630777,0.016987528,0.014763098,0.023777037
"sp|Q99895|CTRC_HUMAN",0.007810383,0.013653129,0.005692732,0.013063821,0.011970254,0.008715336,0.011096624,0.008049731
"sp|P02766|TTHY_HUMAN",0.07624771,0.041812989,0.02853871,0.039224445,0.032631492,0.027970811,0.053899503,0.084455024
"sp|P27487|DPP4_HUMAN",0.010881813,0.015415733,0.013028763,0.015849221,0.011737983,0.006178574,0.007423798,0.008873215
"sp|P15144|AMPN_HUMAN",0.004635698,0.003383601,0.015051194,0.01133758,0.012900778,0.011373497,0.010110037,0.004318949
"sp|P01011|AACT_HUMAN",0.011530615,0.019268369,0.013925673,0.019405562,0.010656866,0.008459428,0.009147247,0.012000332
"sp|P07477|TRY1_HUMAN",0.06256092,0.121995611,0.071619315,0.026637379,0.067983113,0.04508976,0.032316081,0.047324975
"sp|A8K7I4|CLCA1_HUMAN",0.007589438,0.005242498,0.005342245,0.010365829,0.007302469,0.005472729,0.005576577,0.005469779
"sp|Q13228|SBP1_HUMAN",0.011114037,0.019337276,0.018953862,0.01862642,0.012201527,0.006935196,0.008170525,0.011029305
"sp|P09923|PPBI_HUMAN",0.009895476,0.008280781,0.011885969,0.010790674,0.010455892,0.010039324,0.010938327,0.007466805
"sp|P01834|IGKC_HUMAN",0.039534883,0.017710224,0.02234287,0.032478598,0.02670995,0.044914036,0.042250557,0.039513306
"sp|Q8WZ42|TITIN_HUMAN",0.000210489,"8.96979E-05",0.0001829,"5.91035E-05",0.000182399,"3.87058E-05",0.00013152,0.000341541
"sp|Q9UGM3|DMBT1_HUMAN",0.001902775,0.002924607,0.003124065,0.004011803,0.002174245,0.001050437,0.001743611,0.001877123
"sp|Q86UP6|CUZD1_HUMAN",0.00578394,0.005018423,0.004038484,0.005612278,0.003473775,0.001786083,0.004222283,0.009125044
"sp|P55259|GP2_HUMAN",0.001251403,0.001803454,0.004148927,0.009936398,0.004005309,0.008221776,0.006989295,0.004126627
"sp|Q6UWV6|ENPP7_HUMAN",0.010591679,0.014138061,0.017658696,0.011950153,0.007221908,0.00738476,0.006028783,0.008066646
"sp|Q08380|LG3BP_HUMAN",0.003702961,0.003262718,0.003227377,0.004839322,0.003037349,0.00313236,0.003365667,0.004642287
"tr|A0A024R6I7|A0A024R6I7_HUMAN",0.014369081,0.001313896,0.00082674,0.001589293,0.002790853,0.004826087,0.006379409,0.012239679
"sp|P14410|SUIS_HUMAN",0.000169674,0.000868462,0.002921994,0.00307971,0.001273606,0.003671051,0.001907486,0.00123469
"sp|P30740|ILEU_HUMAN",0.010951831,0.009653101,0.010513618,0.013196759,0.009000449,0.009558602,0.008582325,0.011169684
"sp|Q9UQQ1|NALDL_HUMAN",0.004673178,0.007523741,0.006085819,0.008332727,0.005318497,0.002525578,0.004061854,0.003484669
"sp|Q02817|MUC2_HUMAN",0.00072096,0.000943,0.000564477,0.001127385,0.000629827,0.000135945,0.000380781,0.000540071
"sp|P98073|ENTK_HUMAN",0.004332316,0.004504096,0.002697277,0.004985914,0.002984808,0.002069639,0.001938065,0.003424961
"sp|P06702|S10A9_HUMAN",0.042967005,0.024169675,0.019769483,0.018294807,0.01359223,0.013142573,0.021063544,0.041290945
"sp|P05109|S10A8_HUMAN",0.051615593,0.025079359,0.041711561,0.024735845,0.0200016,0.021663549,0.033463851,0.060244786
"sp|Q03154|ACY1_HUMAN",0.004766234,0.005560909,0.005291476,0.010805934,0.005377827,0.004894587,0.002789461,0.007609312
"sp|P12821|ACE_HUMAN",0.004145368,0.002575362,0.002044652,0.003071842,0.00343548,0.00275176,0.001986738,0.002619011
"sp|O43895|XPP2_HUMAN",0.002842235,0.00499901,0.004963342,0.003319575,0.00360691,0.005341127,0.002661638,0.003235974
"sp|P07478|TRY2_HUMAN",0.018698748,0.012967311,0.015650299,0.010978721,0.010519864,0.012076932,0.009961543,0.014265625
"sp|P05451|REG1A_HUMAN",0.009510112,0.00545822,0.010826617,0.00046577,0.009300467,0.042741293,0.008067804,0.004577836
"sp|P80188|NGAL_HUMAN",0.009674454,0.017310082,0.015137822,0.016539462,0.010758187,0.007455288,0.007535571,0.012737897
